콘텐츠ID,콘텐츠분류,제목,언어,타이틀SEO,연관콘텐츠,지번주소,도로명주소,위도,경도,탐나오연동여부,평점,소셜네트워크URL,조회수,외부검색어,좋아요수,리뷰수,북마크수,일정등록수,다녀왔어요수,PC사용여부,모바일사용여부,공개여부,작성상태,사용여부,작성상태_1,영문PC사용여부,중문PC사용여부,일문PC사용여부,영문작성상태,중문작성상태,일문작성상태,영문공개여부,중문공개여부,일문공개여부,영문모바일사용여부,중문모바일사용여부,일문모바일사용여부,영문승인일시,중문승인일시,일문승인일시,등록자,등록일시,수정자,수정일시,SNS공유수,인기점수,등록일시_1,우편번호,템플릿여부,번역요청일시,영문번역요청일시,중문번역요청일시,일문번역요청일시,페이지SEO자동여부,영문페이지SEO자동여부,중문페이지SEO자동여부,일문페이지SEO자동여부,사진공유수,번체PC사용여부,말레이어PC사용여부,번체작성상태,말레이어작성상태,번체공개여부,말레이어공개여부,번체모바일사용여부,말어모바일사용여부,번체승인일시,말레이어승인일시,번체번역요청일시,말레이어번역요청일시,번체SEO자동여부,말레이어SEO자동여부
CNTS_200000000007535,관광지,감귤상웨빵 체험,국문,감귤상웨빵 체험,,제주특별자치도 서귀포시 남원읍 하례리 677,제주특별자치도 서귀포시 남원읍 하례중앙로 95,33.3420367,126.5884214,y,0,,4132,,1,0,16,0,0,y,y,y,y,y,2019-08-02,,,,m,m,m,,,,,,,,,,gorra2296,2018-09-21,gorra2296,2022-03-21,8,8267,,,n,2018-09-21,,,,y,n,n,n,0,,,,,,,,,,,,,,
CNTS_200000000007427,음식점,daemadoo@hanmail.net,국문,,,제주특별자치도 제주시 영평동 2181 daemadoo@hanmail.net,"제주특별자치도 제주시 첨단로 242 (영평동, 카카오스페이스닷원) daemadoo@hanmail.net",,,y,0,,0,,0,0,0,0,0,,,,u,y,,,,,m,m,m,,,,,,,,,,anonymous,2018-08-30,anonymous,2018-08-30,0,,,140-690,n,,,,,n,n,n,n,0,,,,,,,,,,,,,,
CNTS_200000000010921,테마여행,新しくオプンした話題のスポットTOP４,일문,新しくオプンした話題のスポットTOP４,,,,,,y,0,,1511,,0,0,0,0,0,,,,m,y,,,,y,m,m,y,,,y,,,y,,,2020-12-09,round7710,2020-12-05,round7710,2022-03-19,0,3022,,,n,,,,2020-12-05,n,n,n,y,0,,,m,m,,,,,,,,,n,n
CNTS_200000000010926,테마여행,チェジュ島おススメの4選,일문,チェジュ島おススメの4選,,,,,,y,0,,961,,0,0,0,0,0,,,,m,y,,,,y,m,m,y,,,y,,,y,,,2020-12-09,round7710,2020-12-06,round7710,2022-03-21,0,1922,,,n,,,,2020-12-06,n,n,n,y,0,,,m,m,,,,,,,,,n,n
CNTS_200000000010957,관광지,새별헤이요목장,국문,새별헤이요목장,,제주도 제주시 애월읍 봉성리 4554-20,,33.36167204,126.3641708,y,0,,1685,,0,0,10,0,0,y,y,y,y,y,2020-12-16,y,,y,t,m,y,y,,y,y,,y,,,2020-12-16,iamsunon,2020-12-16,iamsunon,2022-03-21,1,3370,,,n,2020-12-16,2020-12-16,,2020-12-16,y,y,n,y,0,,,m,m,,,,,,,,,n,n
CNTS_200000000012446,테마여행,제주마을산책 <겨울편-원도심> (상),국문,제주마을산책 <겨울편-원도심> (상),,,,,,y,0,,3587,,1,0,1,0,0,y,y,y,y,y,2021-12-07,,,,m,m,m,,,,,,,,,,jto0900045,2021-12-06,jto0900045,2022-03-22,2,7177,,,n,2021-12-06,,,,y,n,n,n,0,,,m,m,,,,,,,,,n,n
CNTS_200000000007653,음식점,볼스카페,국문,볼스카페,,제주특별자치도 서귀포시 회수동 554-2,제주특별자치도 서귀포시 일주서로 626,33.2533658,126.4426193,y,0,https://www.instagram.com/Volsproduction_official/,2414,,1,0,7,0,0,y,y,n,y,y,2019-10-31,y,,,y,m,m,y,,,y,,,2019-10-31,,,gorra2296,2018-10-22,gorra2296,2022-03-21,3,4831,,,n,2018-10-22,2018-11-14,,,y,y,n,n,0,,,,,,,,,,,,,,
CNTS_200000000007655,축제/행사,피그인블랙페스티벌 ,국문,피그인블랙페스티벌 ,,제주특별자치도 제주시 애월읍 소길리 155-45,제주특별자치도 제주시 애월읍 평화로 2119,33.4380781,126.3804321,y,0,,220,,0,0,0,0,0,y,y,n,m,y,2018-10-23,,,,m,m,m,,,,,,,,,,kya9706,2018-10-23,kya9706,2020-06-22,1,440,,,n,2018-10-23,,,,y,n,n,n,0,,,,,,,,,,,,,,
CNTS_200000000007656,테마여행,"제주 먹거리 & 식재료 탐방 여행<제주도 자연이 담아낸 식재료와 음식들, 제주도 로컬 푸드>",국문,"제주 먹거리 & 식재료 탐방 여행<제주도 자연이 담아낸 식재료와 음식들, 제주도 로컬 푸드>",,,,,,y,0,,9423,,0,0,1,0,0,y,y,y,y,y,2018-10-24,,,,m,m,m,,,,,,,,,,kimhk,2018-10-23,kimhk,2022-03-21,0,18846,,,n,2018-10-23,,,,y,n,n,n,0,,,,,,,,,,,,,,
CNTS_200000000007657,축제/행사,"스스로 그러하다, 自然  강부언 展",국문,"스스로 그러하다, 自然  강부언 展",,제주특별자치도 서귀포시 안덕면 상천리 산 62-3,제주특별자치도 서귀포시 안덕면 산록남로 863,33.3159979,126.387643,y,0,,370,,0,0,0,0,0,y,y,n,y,y,2018-10-23,,,,m,m,m,,,,,,,,,,imsewon1,2018-10-23,imsewon1,2022-02-14,1,740,,,n,2018-10-23,,,,y,n,n,n,0,,,,,,,,,,,,,,
CNTS_200000000007658,관광지,한라산 아래 첫 마을,국문,한라산 아래 첫 마을,,제주특별자치도 서귀포시 안덕면 광평리 195-2,제주특별자치도 서귀포시 안덕면 광평로 41,33.3295908,126.381331,y,0,,3077,,1,0,5,0,0,y,y,y,y,y,2018-10-23,,,,m,m,m,,,,,,,,,,kya9706,2018-10-23,kya9706,2022-03-21,1,6157,,,n,2018-10-23,,,,y,n,n,n,0,,,,,,,,,,,,,,
CNTS_200000000007659,관광지,푸른콩 방주영농조합법인,국문,푸른콩 방주영농조합법인,,제주특별자치도 서귀포시 중산간서로 740(중문동),제주특별자치도 서귀포시 중산간서로 740(중문동),33.2632854,126.4361834,y,0,,2852,,0,0,4,0,0,y,y,y,y,y,2018-10-23,,,,m,m,m,,,,,,,,,,imsewon1,2018-10-23,imsewon1,2022-03-21,3,5704,,,n,2018-10-23,,,,y,n,n,n,0,,,,,,,,,,,,,,
CNTS_200000000007522,관광지,이호-내도 해안도로,국문,이호-내도 해안도로,,제주특별자치도 제주시 내도동 475,제주특별자치도 제주시 테우해안로 60,33.4961622,126.4413081,y,0,,3742,,2,0,36,0,0,y,y,y,y,y,2019-07-31,y,y,y,y,w,w,y,y,y,y,y,y,2018-09-21,2019-02-28,2018-09-20,ahm0213,2018-09-19,ahm0213,2022-03-21,7,7490,,,n,2018-09-19,2018-09-20,2018-09-20,2018-09-20,y,y,y,y,0,y,,w,,y,,y,,,,2019-07-31,,y,
CNTS_200000000007590,축제/행사,2018 제주드론필름페스티벌,국문,2018 제주드론필름페스티벌,,제주특별자치도 서귀포시 안덕면 서광리 산 39 제주항공우주박물관,제주특별자치도 서귀포시 안덕면 녹차분재로 218,33.3029712,126.2990679,y,0,https://www.facebook.com/JDFF.DroneFilmFestival/,298,,0,0,0,0,0,y,y,n,y,y,2018-10-23,,,,m,m,m,,,,,,,,,,kimhk,2018-10-10,kimhk,2022-02-14,0,596,,,n,2018-10-10,,,,y,n,n,n,0,,,,,,,,,,,,,,
CNTS_200000000007595,음식점,술도가제주바당,국문,술도가제주바당,,제주특별자치도 제주시 구좌읍 종달리 881-1,제주특별자치도 제주시 구좌읍 종달로5길 27,33.4934702,126.8991608,y,0,,2072,,0,0,4,0,0,y,y,y,y,y,2019-10-31,,,,m,m,m,,,,,,,,,,gorra2296,2018-10-11,gorra2296,2022-03-22,4,4144,,,n,2018-10-11,,,,y,n,n,n,0,,,,,,,,,,,,,,
CNTS_200000000007597,축제/행사,서복전시관 요가 페스티벌,국문,서복전시관 요가 페스티벌,,제주특별자치도 서귀포시 서귀동 100-2 서복전시관 야외공원,제주특별자치도 서귀포시 칠십리로 156-8,33.2448641,126.5706551,y,0,,202,,0,0,0,0,0,y,y,n,m,y,2018-10-19,y,,,m,m,m,y,,,y,,,2018-10-11,,,kimhk,2018-10-11,kimhk,2022-02-14,0,404,,,n,2018-10-11,2018-10-11,,,y,y,n,n,0,,,,,,,,,,,,,,
CNTS_200000000007652,음식점,봉망고,국문,봉망고,,제주특별자치도 제주시 구좌읍 월정리 541,제주특별자치도 제주시 구좌읍 월정7길 62-1,33.5468086,126.7838117,y,0,https://www.instagram.com/bonchefmango_woljeong/,671,,0,0,1,0,0,y,y,y,y,y,2019-10-28,,,,m,m,m,,,,,,,,,,kya9706,2018-10-22,kya9706,2022-03-20,0,1342,,,n,2018-10-22,,,,y,n,n,n,0,,,,,,,,,,,,,,
CNTS_200000000007537,테마여행,유네스코가 주목하는 생물권 보전지역 <하례리에서 즐기는 제주여행>,국문,유네스코가 주목하는 생물권 보전지역 <하례리에서 즐기는 제주여행>,,,,,,y,0,,6009,,0,0,0,0,0,y,y,y,y,y,2018-09-27,,,,m,m,m,,,,,,,,,,gorra2296,2018-09-21,gorra2296,2022-03-21,0,12018,,,n,2018-09-21,,,,y,n,n,n,0,,,,,,,,,,,,,,
CNTS_200000000007568,관광지,테테테,국문,,,서울 강남구 논현동 130-26 123,서울 강남구 논현로123길 4-1 (논현동) 123,,,y,0,,0,,0,0,0,0,0,,,,m,y,,,,,m,m,m,,,,,,,,,,anonymous,2018-10-01,anonymous,2019-01-08,0,,,824-135,n,,,,,n,n,n,n,0,,,,,,,,,,,,,,
CNTS_200000000007569,관광지,가맹점사진,국문,,,서울 강남구 논현동 130-26 ,서울 강남구 논현로123길 4-1 (논현동) ,,,y,0,,0,,0,0,0,0,0,,,,u,y,,,,,m,m,m,,,,,,,,,,anonymous,2018-10-01,anonymous,2018-10-01,0,,,824-135,n,,,,,n,n,n,n,0,,,,,,,,,,,,,,
CNTS_200000000007571,숙박,그린트리인서귀포호텔,국문,그린트리인서귀포호텔,,제주특별자치도 서귀포시 서호동 1522-1 그린트리 인 서귀포호텔,제주특별자치도 서귀포시 서호중앙로 84 (서호동) 그린트리 인 서귀포호텔,33.2545322,126.5198756,y,5,,966,,0,1,2,0,0,y,y,y,y,y,2019-06-21,,,,m,m,m,,,,,,,,,,anonymous,2018-10-04,anonymous,2022-03-22,0,1937,,-,n,,,,,y,n,n,n,0,,,,,,,,,,,,,,
CNTS_200000000007572,음식점,카페캐로타,국문,카페캐로타,,제주특별자치도 제주시 구좌읍 평대리 3351-2 카페 캐로타,제주특별자치도 제주시 구좌읍 세평항로 13 (평대리) 카페 캐로타,33.5318334,126.842243,y,0,,26,,0,0,0,0,0,y,y,n,m,y,2018-10-18,y,,,m,m,m,n,,,y,,,2018-10-15,,,anonymous,2018-10-04,anonymous,2022-02-14,0,52,,974-695,n,,2018-10-11,,,y,y,n,n,0,,,,,,,,,,,,,,
CNTS_200000000007570,숙박,에코힐링하우스,국문,에코힐링하우스,,제주특별자치도 제주시 한림읍 협재리 921 ,제주특별자치도 제주시 한림읍 협재남2길 45-60 (협재리) ,33.3807358,126.2482491,y,0,,442,,0,0,0,0,0,y,y,y,y,y,2019-01-08,,,,m,m,m,,,,,,,,,,anonymous,2018-10-04,anonymous,2022-03-22,0,884,,-,n,,,,,y,n,n,n,0,,,,,,,,,,,,,,
